index,paris,london,madrid,berlin,milano,barcelona,athinia,roma,birmingham,lisboa,napoli,katowice,manchester,hamburg,budapest,bucuresti,warszawa,stuttgart,wien,münchen,brussels,stockholm,frankfurt am main,köln,kobenhavn,valencia,torino,glasgow,praha,lyon,sofia,liverpool,porto,sevilla,dublin,helsinki,amsterdam,rotterdam,düsseldorf,essen-oberhausen,lille,lodz,marseille,antwerp,bilbao,newcastle,krakow,bochum-herne,thessaloniki,nürnberg,riga,duisburg,dortmund,hannover,zürich,oslo,bremen,dresden,sheffield,palermo,poznan,gelsenkirchen-bottrop,bordeaux,wroclaw,göteborg,zaragoza,genova,catania,den haag,toulouse,bristol,vilnius,saarbrücken,malaga,nantes,leeds,nottingham,firenze,gdansk,leipzig,mannheim,belfast,portsmouth,venezia,edinburgh,murcia,nice,liège,bratislava,leicester,karlsruhe,bergamo,palma de mallorca,bologna,bielefeld,rouen,strasbourg,tallinn,szczecin,grenoble
gelsenkirchen-bottrop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bordeaux,19,16,3,4,0,7,0,1,1,0,0,1,2,2,2,0,0,1,0,0,4,2,0,0,0,7,0,2,0,7,1,0,1,0,6,1,6,1,1,0,6,0,7,4,0,1,0,0,0,1,1,1,0,0,0,4,0,1,0,1,0,0,36,0,0,2,0,0,0,12,0,1,0,0,6,2,0,1,1,0,0,2,2,1,5,0,4,3,0,0,0,0,0,1,0,5,3,0,0,1
wroclaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
göteborg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zaragoza,5,5,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
genova,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
catania,2,1,1,2,1,1,0,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0
den haag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toulouse,29,15,4,3,0,7,0,1,1,0,0,0,4,0,1,0,0,0,0,0,4,1,0,0,0,6,0,1,0,7,1,1,2,0,5,1,3,0,0,0,5,0,6,2,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,3,0,0,12,0,0,3,0,0,0,46,1,0,0,0,7,1,0,0,0,1,0,2,1,0,3,1,6,3,0,0,0,2,0,3,0,3,4,0,0,1
bristol,15,43,4,6,0,3,0,0,16,0,0,1,10,1,3,0,0,1,0,0,0,1,0,0,0,0,0,10,0,2,0,7,3,0,10,1,3,1,1,0,0,0,0,0,1,8,1,0,1,0,0,0,1,0,2,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,6,5,0,0,0,0,5,5,0,15,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1
vilnius,3,3,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
saarbrücken,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
malaga,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nantes,13,8,0,5,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,5,1,0,0,0,2,1,5,1,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,6,0,0,0,0,0,0,7,0,0,0,0,21,2,0,1,0,0,0,0,3,0,1,0,4,1,0,0,0,0,0,0,0,2,3,0,0,0
