city_A;city_B;POP_A;POP_B;CC_A;CC_B;distance;border_DUM;reg_border;FR_con;FR_int;EN_con;EN_int;CEAST;SOUTH;WEST;NORTH;col_en;col_fr;col_prop_fr;col_prop_en;fr_en_prop;en_fr_prop
Paris;Warsaw;9591;2004;FR;PL;1369.6254099481762;1;1;1;0;0;0;1;0;1;0;1552.0;1019.0;0.1696818922445051;0.14870179120505556;1.1410884217966049;0.8763562760767777
Paris;Stuttgart;9591;1735;FR;DE;501.98684840927666;1;0;1;0;0;0;0;0;1;0;700.0;430.0;0.07160276120229361;0.06706910685795031;1.0675967603675625;0.9366832470114562
Paris;Vienna;9591;1674;FR;AT;1037.5399224643531;1;0;1;0;0;0;0;0;1;0;5275.0;4115.0;0.6852217729010192;0.5054136266795541;1.3557643417783594;0.7375913122838867
Paris;Munich;9591;1647;FR;DE;686.9098043812573;1;0;1;0;0;0;0;0;1;0;3075.0;1861.0;0.30989008976155447;0.294625005125996;1.0518119113108895;0.9507403265225286
Paris;Brussels;9591;1498;FR;BE;263.92485460488683;1;0;1;1;0;0;0;0;1;0;4461.0;5860.0;0.9757957689428852;0.42742183670473766;2.282980618084245;0.4380238676047747
Paris;Stockholm;9591;1479;FR;SE;1542.4656807881126;1;1;1;0;0;0;0;0;1;1;1581.0;912.0;0.15186446096858555;0.15148036848917062;1.0025355924549548;0.9974708205134685
Paris;Frankfurt;9591;1462;FR;DE;479.6920497130541;1;0;1;0;0;0;0;0;1;0;1616.0;1031.0;0.17168010883619703;0.15483382383206815;1.1088023571800452;0.901873984596537
Paris;Cologne;9591;1398;FR;DE;403.86011642768983;1;0;1;0;0;0;0;0;1;0;1125.0;840.0;0.13987516141843404;0.10778963602170587;1.2976680001987113;0.7706131305132519
Paris;Copenhagen;9591;1360;FR;DK;1028.6104264210312;1;1;1;0;0;0;0;0;1;1;1504.0;618.0;0.10290815447213363;0.1441027667347961;0.7141303168836707;1.400304645185504
Paris;Valencia;9591;1318;FR;ES;1062.6061072976995;1;1;1;0;0;0;0;1;1;0;358.0;704.0;0.11722870671259235;0.03430105750735173;3.417641181688546;0.29259947046457707
