id_MUA;Mua;Mua_en;Mua_fr;SizeMUA1k;EU15;Code_Country;NUTS_1;NUTS_2;NUTS_3;X_COORD_first;Y_COORD_first;CountryCode_numeric;id_fua;Fua;id_PUR;PUR;Supra_poly_fua;PIA;Name_supra_poly_fua;Poly_fua;id_poly_fua;Name_poly_fua;SizeHinterland1k;GDP_per_capita;Dummy_Capital
DE00246;Düsseldorf;Düsseldorf;Düsseldorf;1016;1;DE;DEA;DEA1;DEA11;-570674;168795;7;DE10168;Düsseldorf;DE110;Rhein - Ruhr;1;PIA_Köln;99;1;DE04;Rhein - Ruhr - North;2466;45;0
DE00253;Essen-Oberhausen;Essen-Oberhausen;Essen-Oberhausen;986;1;DE;DEA;DEA1;DEA17;-553945;189170;7;DE10172;Essen-Oberhausen;DE110;Rhein - Ruhr;1;PIA_Köln;99;1;DE05;Rhein - Ruhr;2466;30;0
FR00771;Lille;Lille;Lille;953;1;FR;FR3;FR30;FR301;-841368;137653;12;FR10516;Lille;FR105;Lille;0;PIA_Lille;99;1;FR04;Lille metropolitan area;818;23;0
PL01488;Lodz;Lodz;Lodz;919;0;PL;PL1;PL11;PL114;309063;205778;23;PL10978;Lodz; ; ;0;PIA_Lodz;99;0; ; ;246;8;0
FR00782;Marseille;Marseille;Marseille;862;1;FR;FR8;FR82;FR825;-776208;-696847;12;FR10522;Marseille-Aix-en-Provence;FR106;Marseille-Aix-en-Provence;0;PIA_Marseille-Aix-en-Provence;99;0; ; ;278;27;0
BE00023;Antwerp;Antwerp;Anvers;830;1;BE;BE2;BE21;BE211;-738642;192383;2;BE10019;Antwerp;BE101;Flemisch Diamond;0;PIA_Bruxelles;99;1;BE01;Flemisch Diamond;1955;37;0
ES00470;Bilbao;Bilbao;Bilbao;822;1;ES;ES2;ES21;ES213;-1448323;-576955;10;ES10337;Bilbao; ; ;0;PIA_Bilbao;99;0; ; ;125;30;0
UK01902;Newcastle upon Tyne;Newcastle;Newcastle;814;1;UK;UKC;UKC2;UKC21;-1274910;328087;29;UK11245;Tyneside metropolitan area;UK113;Tyneside;0;PIA_Tyneside;99;0; ; ;344;28;0
PL01482;Krakow;Krakow;Cracovie;807;0;PL;PL2;PL21;PL213;357121;18007;23;PL10973;Krakow; ; ;0; ;99;0; ; ;399;9;0
DE00222;Bochum-Herne;Bochum-Herne;Bochum-Herne;804;1;DE;DEA;DEA5;DEA51;-539186;191648;7;DE10147;Bochum-Herne;DE110;Rhein - Ruhr;1;PIA_Köln;99;1;DE05;Rhein - Ruhr;2466;25;0
GR00888;Thessaloniki;Thessaloniki;Thessalonique;777;1;GR;GR1;GR12;GR122;673913;-1006186;13;GR10603;Thessaloniki; ; ;0;PIA_Thessaloniki;99;0; ; ;275;18;0
